benchmark,scenario,noise_ratio,samples_per_client,num_clients,seed,method,exact_recovery,term_precision,term_recall,test_nmse,train_mse,spurious_accepted,exception_recovered,fallback_selected,selected_source,validation_mse,worst_validation_mse,runtime_seconds,communication_bytes,discovered_terms,expression,stop_reason,candidate_bank_target_recall,candidate_bank_contains_all_truth,candidate_bank_size,candidate_bank_nuisance_count,probe_certified,candidate_sets_evaluated,necessity_failures,swap_failures,exception_eligible_diagnostics,selector_structure,panel,balance_profile,nominal_samples_per_client,client_sizes,communication_per_client,frozen_v6_anchor_structure,frozen_candidate_bank_terms,rccd_final_structure,discovery_full_structure,discovery_full_coefficients,exception_term,source_term,exception_in_bank,exception_in_anchor,source_in_anchor,rccd_attempted,exception_coefficient,selector_eligible_clients,selector_eligible_support,selector_full_sse,selector_zero_sse,selector_delta,selector_passed,probe_eligible_clients,probe_eligible_support,probe_full_sse,probe_zero_sse,probe_delta,probe_passed,selector_outside_anchor_sse,selector_outside_full_sse,selector_outside_safe,probe_outside_anchor_sse,probe_outside_full_sse,probe_outside_safe,rccd_accepted
cubic_cross,complementary,0.2,100,4,20101,rccd-spent-diagnostic,1.0,1.0,1.0,0.00016692186929838357,1.3631951872226018,0.0,1.0,0.0,frozen-v6-anchor,1.020047502683236,1.3309367010725226,1.5158709730000055,2986902,x1*x2;x1^3;x3^2,0.04657 + 0.5155·x₃² + 0.8064·x₁³ + 1.188·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; bank=x1,sin(x1),x1*x2,x1^3,x3^2,cos(x2); exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,6,3,1.0,63,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,746725.5,1;x3^2;x1^3;x1*x2,x1;sin(x1);x1*x2;x1^3;x3^2;cos(x2),1;x3^2;x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
cubic_cross,complementary,0.2,100,4,20102,rccd-spent-diagnostic,1.0,1.0,1.0,0.00023878203366111222,0.806967542244354,0.0,1.0,0.0,frozen-v6-anchor,0.8608847783980142,1.076997181122819,1.527840408000003,2993058,x1*x2;x1^3;x3^2,-0.03794 + 0.4889·x₃² + 0.7884·x₁³ + 1.187·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; bank=x1,x1*x2,sin(x1),x1^3,x3^2,x2^2,cos(x2); exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,748264.5,1;x3^2;x1^3;x1*x2,x1;x1*x2;sin(x1);x1^3;x3^2;x2^2;cos(x2),1;x3^2;x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
cubic_cross,complementary,0.2,100,4,20103,rccd-spent-diagnostic,1.0,1.0,1.0,0.0001611605808223213,1.2777871246509753,0.0,1.0,0.0,frozen-v6-anchor,1.371612538401275,1.9465362778849642,1.5605769029999976,3019547,x1*x2;x1^3;x3^2,-0.05061 + 0.5363·x₃² + 0.8059·x₁³ + 1.179·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; bank=x1,x1*x2,sin(x1),x1^3,x3^2,x3,sin(x1+x1^2); exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,754886.75,1;x3^2;x1^3;x1*x2,x1;x1*x2;sin(x1);x1^3;x3^2;x3;sin(x1+x1^2),1;x3^2;x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
cubic_cross,complementary,0.2,100,4,20104,rccd-spent-diagnostic,1.0,1.0,1.0,0.0005391394012309588,1.085950251686367,0.0,1.0,0.0,frozen-v6-anchor,1.3520342617699248,1.7750648193691176,1.5222666509999954,2989698,x1*x2;x1^3;x3^2,-0.1335 + 0.5065·x₃² + 0.8081·x₁³ + 1.249·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; bank=x1,sin(x1),x1*x2,x1^3,x3^2,x4^2,sin(x3); exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,747424.5,1;x3^2;x1^3;x1*x2,x1;sin(x1);x1*x2;x1^3;x3^2;x4^2;sin(x3),1;x3^2;x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
cubic_cross,complementary,0.2,100,4,20105,rccd-spent-diagnostic,1.0,1.0,1.0,7.816166112985525e-05,1.240675632871612,0.0,1.0,0.0,frozen-v6-anchor,0.9239207283662471,1.3253392606522842,1.5281016689999944,2988949,x1*x2;x1^3;x3^2,-0.07482 + 0.5191·x₃² + 0.801·x₁³ + 1.18·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; bank=x1,x1*x2,sin(x1),x1^3,x3^2,sin(x2),x4; exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,747237.25,1;x3^2;x1^3;x1*x2,x1;x1*x2;sin(x1);x1^3;x3^2;sin(x2);x4,1;x3^2;x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
cubic_cross,complementary,0.2,250,4,20101,rccd-spent-diagnostic,0.0,0.5,0.6666666666666666,0.005223123034028242,1.1006096147660387,0.0,1.0,0.0,frozen-v6-anchor,1.093438041265922,1.2776232842310664,1.5789527780000014,3002010,sin(x1);x1;x1*x2;x3^2,-0.03552 + 6.593·x₁ + 0.479·x₃² - 7.065·sin(x₁) + 1.218·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,x1,x3^2,sin(x1),x1*x2; bank=x1,sin(x1),x1*x2,x1^3,x3^2,x2,cos(x3); exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,x1,x3^2,sin(x1),x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,0.0,120,0,0,0,1;x1;x3^2;sin(x1);x1*x2,G,balanced,250,250;250;250;250,750502.5,1;x1;x3^2;sin(x1);x1*x2,x1;sin(x1);x1*x2;x1^3;x3^2;x2;cos(x3),1;x1;x3^2;sin(x1);x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
cubic_cross,complementary,0.2,250,4,20102,rccd-spent-diagnostic,1.0,1.0,1.0,0.00011026934826922524,1.2161981192005062,0.0,1.0,0.0,frozen-v6-anchor,1.2561926367459864,1.4578523800324774,1.5796624019999967,3003700,x1*x2;x1^3;x3^2,0.09885 + 0.4787·x₃² + 0.7934·x₁³ + 1.198·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; bank=x1,sin(x1),x1*x2,x1^3,x3^2,cos(x2),x2; exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,250,250;250;250;250,750925.0,1;x3^2;x1^3;x1*x2,x1;sin(x1);x1*x2;x1^3;x3^2;cos(x2);x2,1;x3^2;x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
cubic_cross,complementary,0.2,250,4,20103,rccd-spent-diagnostic,1.0,1.0,1.0,8.714411221320798e-05,1.0148916864657798,0.0,1.0,0.0,frozen-v6-anchor,0.9740566999911809,1.3497954983609153,1.5865697229999967,3004264,x1*x2;x1^3;x3^2,-0.009017 + 0.5033·x₃² + 0.8067·x₁³ + 1.216·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; bank=x1,x1*x2,sin(x1),x1^3,x3^2,cos(x2),cos(x3); exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,0.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,250,250;250;250;250,751066.0,1;x3^2;x1^3;x1*x2,x1;x1*x2;sin(x1);x1^3;x3^2;cos(x2);cos(x3),1;x3^2;x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
cubic_cross,complementary,0.2,250,4,20104,rccd-spent-diagnostic,1.0,1.0,1.0,0.0001549950051302454,0.9703115852986233,0.0,1.0,0.0,frozen-v6-anchor,1.0168396924897865,1.1889047305487435,1.5791181110000139,3004263,x1*x2;x1^3;x3^2,-0.04775 + 0.5044·x₃² + 0.7967·x₁³ + 1.168·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; bank=x1,sin(x1),x1*x2,x1^3,x3^2,x4,x2^2; exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,250,250;250;250;250,751065.75,1;x3^2;x1^3;x1*x2,x1;sin(x1);x1*x2;x1^3;x3^2;x4;x2^2,1;x3^2;x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
cubic_cross,complementary,0.2,250,4,20105,rccd-spent-diagnostic,0.0,0.6666666666666666,0.6666666666666666,0.000794632605207913,1.2709917196530394,0.0,1.0,0.0,frozen-v6-anchor,1.1378829925961942,1.3767731200435853,1.5788542829999983,3003095,cos(x3);x1*x2;x1^3,1.266 - 1.472·cos(x₃) + 0.8023·x₁³ + 1.249·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,cos(x3),x1^3,x1*x2; bank=x1,x1*x2,sin(x1),x1^3,x3^2,sin(x1+x1^2),cos(x3); exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,cos(x3),x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,0.0,120,0,0,0,1;cos(x3);x1^3;x1*x2,G,balanced,250,250;250;250;250,750773.75,1;cos(x3);x1^3;x1*x2,x1;x1*x2;sin(x1);x1^3;x3^2;sin(x1+x1^2);cos(x3),1;cos(x3);x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
