benchmark,scenario,noise_ratio,samples_per_client,num_clients,seed,method,exact_recovery,term_precision,term_recall,test_nmse,train_mse,spurious_accepted,exception_recovered,runtime_seconds,communication_bytes,search_evaluations,discovered_terms,expression,stop_reason
base,complementary,0.03,300,4,9016,fedfalsify-v05,1.0,1.0,1.0,2.7225248661310707e-06,0.007547908717459523,0.0,1.0,0.5699831609999819,238339,5,sin(x2);x1;x3^2,0.003218 + 1.999·x₁ + 0.4977·x₃² + 0.995·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9016,centralized-tree-gp,0.0,0.25,0.3333333333333333,2.705620298049083e-06,0.007547775260405943,0.0,1.0,2.4187289040000906,0,1618,"expr:add(square(x3),x2);expr:add(x1,x1);sin(x2);x2",0.003254 + 0.4977*((x3)^2+x2) + 0.9996*(x1+x1) + 0.9942*sin(x2) - 0.4973*x2,generation budget reached
base,complementary,0.03,300,4,9016,federated-tree-gp-style,0.0,0.25,0.3333333333333333,2.7056202980490247e-06,0.007547775260405941,0.0,1.0,2.4847424219997265,655104,1618,"expr:add(square(x3),x2);expr:add(x1,x1);sin(x2);x2",0.003254 + 0.4977*((x3)^2+x2) + 0.9996*(x1+x1) + 0.9942*sin(x2) - 0.4973*x2,generation budget reached
base,complementary,0.03,300,4,9016,centralized-residual-counterexample-gp,0.0,0.25,0.3333333333333333,2.705620298049083e-06,0.007547775260405943,0.0,1.0,1.5774866869996913,0,1623,"expr:add(square(x3),x2);expr:add(x1,x1);sin(x2);x2",0.003254 + 0.4977*((x3)^2+x2) + 0.9996*(x1+x1) + 0.9942*sin(x2) - 0.4973*x2,generation budget reached
base,complementary,0.03,300,4,9017,fedfalsify-v05,1.0,1.0,1.0,4.2019006230389286e-06,0.008424069391191249,0.0,1.0,0.48803873999986536,238371,5,sin(x2);x1;x3^2,2.004·x₁ + 0.5001·x₃² + 1·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9017,centralized-tree-gp,0.0,0.0,0.0,0.0087626484341274,0.06008965389522987,0.0,1.0,1.5155331299993122,0,1616,"cos(x3);expr:add(cos(x2),x1);expr:add(sin(x1),x1);expr:add(sin(x2),x1)",1.354 + 0.08552*(cos(x2)+x1) + 0.5414*(sin(x1)+x1) + 1.079*(sin(x2)+x1) - 1.468*cos(x3),generation budget reached
base,complementary,0.03,300,4,9017,federated-tree-gp-style,0.0,0.0,0.0,0.00876264843412743,0.06008965389522987,0.0,1.0,1.7237185060002957,665664,1616,"cos(x3);expr:add(cos(x2),x1);expr:add(sin(x1),x1);expr:add(sin(x2),x1)",1.354 + 0.08552*(cos(x2)+x1) + 0.5414*(sin(x1)+x1) + 1.079*(sin(x2)+x1) - 1.468*cos(x3),generation budget reached
base,complementary,0.03,300,4,9017,centralized-residual-counterexample-gp,0.0,0.0,0.0,0.007333187777076253,0.06629530673441156,0.0,1.0,0.911033555999893,0,1556,"expr:add(sin(x1),x1);expr:add(sin(x2),x1);expr:add(square(x3),x2);expr:sin(add(cos(x3),sin(x1)))",0.9141 + 1.138*(sin(x1)+x1) + 0.7575*(sin(x2)+x1) + 0.1523*((x3)^2+x2) - 1.38*sin((cos(x3)+sin(x1))),generation budget reached
base,complementary,0.03,300,4,9018,fedfalsify-v05,1.0,1.0,1.0,2.7691561565760877e-06,0.008605366321029408,0.0,1.0,0.3008865980000337,238363,5,sin(x2);x1;x3^2,0.001741 + 2.001·x₁ + 0.4983·x₃² + 0.9933·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9018,centralized-tree-gp,0.0,0.3333333333333333,0.3333333333333333,2.769156153540552e-06,0.008605366321029406,0.0,1.0,0.8983840509999936,0,1633,"expr:add(sin(x2),x1);expr:add(square(x3),x1);x1",0.001741 + 0.9933*(sin(x2)+x1) + 0.4983*((x3)^2+x1) + 0.5093*x1,generation budget reached
base,complementary,0.03,300,4,9018,federated-tree-gp-style,0.0,0.3333333333333333,0.3333333333333333,2.76915615353757e-06,0.008605366321029408,0.0,1.0,1.1749947830003293,672896,1633,"expr:add(sin(x2),x1);expr:add(square(x3),x1);x1",0.001741 + 0.9933*(sin(x2)+x1) + 0.4983*((x3)^2+x1) + 0.5093*x1,generation budget reached
base,complementary,0.03,300,4,9018,centralized-residual-counterexample-gp,0.0,0.3333333333333333,0.3333333333333333,2.769156153540552e-06,0.008605366321029406,0.0,1.0,0.9707146190003186,0,1633,"expr:add(sin(x2),x1);expr:add(square(x3),x1);x1",0.001741 + 0.9933*(sin(x2)+x1) + 0.4983*((x3)^2+x1) + 0.5093*x1,generation budget reached
base,complementary,0.03,300,4,9019,fedfalsify-v05,1.0,1.0,1.0,1.9049494737141042e-06,0.008028519671919107,0.0,1.0,0.29838312700030656,238402,5,sin(x2);x1;x3^2,0.002628 + 2.003·x₁ + 0.4988·x₃² + 0.9986·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9019,centralized-tree-gp,0.0,0.3333333333333333,0.3333333333333333,1.904949479666578e-06,0.008028519671919107,0.0,1.0,0.840296044999377,0,1570,"expr:add(sin(x2),x1);expr:add(square(x3),x1);x1",0.002628 + 0.9986*(sin(x2)+x1) + 0.4988*((x3)^2+x1) + 0.5052*x1,generation budget reached
base,complementary,0.03,300,4,9019,federated-tree-gp-style,0.0,0.3333333333333333,0.3333333333333333,1.9049494796651193e-06,0.008028519671919103,0.0,1.0,1.120595332999983,610048,1570,"expr:add(sin(x2),x1);expr:add(square(x3),x1);x1",0.002628 + 0.9986*(sin(x2)+x1) + 0.4988*((x3)^2+x1) + 0.5052*x1,generation budget reached
base,complementary,0.03,300,4,9019,centralized-residual-counterexample-gp,0.0,0.3333333333333333,0.3333333333333333,1.904949479666578e-06,0.008028519671919107,0.0,1.0,0.8867887910000718,0,1565,"expr:add(sin(x2),x1);expr:add(square(x3),x1);x1",0.002628 + 0.9986*(sin(x2)+x1) + 0.4988*((x3)^2+x1) + 0.5052*x1,generation budget reached
base,complementary,0.03,300,4,9020,fedfalsify-v05,1.0,1.0,1.0,9.65024891704363e-07,0.007896855326706994,0.0,1.0,0.3255366559997128,238324,5,sin(x2);x1;x3^2,0.0006451 + 2·x₁ + 0.4989·x₃² + 0.9968·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9020,centralized-tree-gp,0.0,0.25,0.3333333333333333,0.003981533929792104,0.04488654246940136,0.0,1.0,0.8785286929996801,0,1606,"expr:add(sin(x2),x1);expr:cos(mul(square(x3),square(x3)));expr:mul(square(x3),square(x3));x1",0.4629 + 1.01*(sin(x2)+x1) - 0.2391*cos(((x3)^2*(x3)^2)) + 0.08618*((x3)^2*(x3)^2) + 0.9943*x1,generation budget reached
base,complementary,0.03,300,4,9020,federated-tree-gp-style,0.0,0.25,0.3333333333333333,0.003981533929792095,0.04488654246940136,0.0,1.0,1.3215198440002496,648768,1606,"expr:add(sin(x2),x1);expr:cos(mul(square(x3),square(x3)));expr:mul(square(x3),square(x3));x1",0.4629 + 1.01*(sin(x2)+x1) - 0.2391*cos(((x3)^2*(x3)^2)) + 0.08618*((x3)^2*(x3)^2) + 0.9943*x1,generation budget reached
base,complementary,0.03,300,4,9020,centralized-residual-counterexample-gp,0.0,0.0,0.0,0.005326793015839833,0.04825163157891926,0.0,1.0,1.4522416849995352,0,1607,"expr:add(sin(x2),x1);expr:add(x1,x1);expr:square(add(sin(x3),x3));expr:square(mul(cos(x1),x3))",-0.1759 + 0.9871*(sin(x2)+x1) + 0.5019*(x1+x1) + 0.2295*((sin(x3)+x3))^2 + 0.07095*((cos(x1)*x3))^2,generation budget reached
base,complementary,0.1,300,4,9016,fedfalsify-v05,1.0,1.0,1.0,3.0250276196841328e-05,0.08386565241621693,0.0,1.0,0.4685352549995514,237902,5,sin(x2);x1;x3^2,0.01073 + 1.997·x₁ + 0.4924·x₃² + 0.9832·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.1,300,4,9016,centralized-tree-gp,0.0,0.0,0.0,3.0062447644048346e-05,0.08386416956006605,0.0,1.0,1.447518138000305,0,1640,"expr:add(sin(x2),x1);expr:add(square(x3),x1);expr:add(square(x3),x2);expr:add(x1,x1)",0.01085 + 0.9807*(sin(x2)+x1) + 0.4909*((x3)^2+x1) + 0.001501*((x3)^2+x2) + 0.2627*(x1+x1),generation budget reached
base,complementary,0.1,300,4,9016,federated-tree-gp-style,0.0,0.0,0.0,3.006244764403892e-05,0.08386416956006607,0.0,1.0,1.627382810999734,678912,1640,"expr:add(sin(x2),x1);expr:add(square(x3),x1);expr:add(square(x3),x2);expr:add(x1,x1)",0.01085 + 0.9807*(sin(x2)+x1) + 0.4909*((x3)^2+x1) + 0.001501*((x3)^2+x2) + 0.2627*(x1+x1),generation budget reached
base,complementary,0.1,300,4,9016,centralized-residual-counterexample-gp,0.0,0.3333333333333333,0.3333333333333333,3.0250276182479887e-05,0.08386565241621695,0.0,1.0,0.927568070000234,0,1604,"expr:add(sin(x2),x1);expr:add(x1,x1);x3^2",0.01073 + 0.9832*(sin(x2)+x1) + 0.507*(x1+x1) + 0.4924*(x3*x3),generation budget reached
base,complementary,0.1,300,4,9017,fedfalsify-v05,1.0,1.0,1.0,4.668778483155939e-05,0.09360077101323609,0.0,1.0,0.30214479500045854,237730,5,sin(x2);x1;x3^2,2.014·x₁ + 0.5005·x₃² + 1.001·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.1,300,4,9017,centralized-tree-gp,0.0,0.0,0.0,0.003374573997424511,0.1047140721678213,0.0,1.0,0.9244949130006717,0,1597,"expr:add(cos(x3),sin(x1));expr:add(sin(x1),x1);expr:add(sin(x2),x1);expr:cos(add(x3,x3))",1.413 - 1.557*(cos(x3)+sin(x1)) + 1.228*(sin(x1)+x1) + 0.9609*(sin(x2)+x1) + 0.1535*cos((x3+x3)),generation budget reached
base,complementary,0.1,300,4,9017,federated-tree-gp-style,0.0,0.0,0.0,0.003374573997424399,0.10471407216782128,0.0,1.0,1.159227914999974,639680,1597,"expr:add(cos(x3),sin(x1));expr:add(sin(x1),x1);expr:add(sin(x2),x1);expr:cos(add(x3,x3))",1.413 - 1.557*(cos(x3)+sin(x1)) + 1.228*(sin(x1)+x1) + 0.9609*(sin(x2)+x1) + 0.1535*cos((x3+x3)),generation budget reached
base,complementary,0.1,300,4,9017,centralized-residual-counterexample-gp,0.0,0.0,0.0,0.0037736808858853006,0.11085422184930481,0.0,1.0,0.9456567570005063,0,1588,"expr:add(cos(x3),sin(x1));expr:add(sin(x1),x1);expr:add(sin(x2),x1)",1.338 - 1.422*(cos(x3)+sin(x1)) + 1.172*(sin(x1)+x1) + 0.9729*(sin(x2)+x1),generation budget reached
base,complementary,0.1,300,4,9018,fedfalsify-v05,1.0,1.0,1.0,3.0768401690421656e-05,0.0956151813447712,0.0,1.0,0.3278883909997603,237664,5,sin(x2);x1;x3^2,0.005802 + 2.003·x₁ + 0.4944·x₃² + 0.9776·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.1,300,4,9018,centralized-tree-gp,0.0,0.0,0.0,0.0031813713056701716,0.1350394292412298,1.0,1.0,0.9062751899991781,0,1592,"expr:add(sin(x1),sin(x2));expr:add(x1,x1);expr:sin(add(cos(x3),sin(x1)));expr:square(add(cos(x4),square(x3)))",0.7875 + 0.9447*(sin(x1)+sin(x2)) + 0.9654*(x1+x1) - 1.117*sin((cos(x3)+sin(x1))) + 0.0384*((cos(x4)+(x3)^2))^2,generation budget reached
base,complementary,0.1,300,4,9018,federated-tree-gp-style,0.0,0.0,0.0,0.0031813713056702804,0.1350394292412298,1.0,1.0,1.193942048000281,639808,1592,"expr:add(sin(x1),sin(x2));expr:add(x1,x1);expr:sin(add(cos(x3),sin(x1)));expr:square(add(cos(x4),square(x3)))",0.7875 + 0.9447*(sin(x1)+sin(x2)) + 0.9654*(x1+x1) - 1.117*sin((cos(x3)+sin(x1))) + 0.0384*((cos(x4)+(x3)^2))^2,generation budget reached
