family,noise_ratio,samples_per_client,num_clients,balance_profile,role_profile,seed,method,exact_recovery,term_precision,term_recall,test_nmse,train_mse,deviation_tp,deviation_fp,deviation_fn,deviation_precision,deviation_recall,all_true_deviations_recovered,spurious_deviation_accepted,runtime_seconds,communication_bytes,discovered_terms,accepted_deviations,anchor_structure,final_structure,bank_terms,source_linked_candidates,role_hypothesis_positive,min_accepted_role_gap,min_accepted_role_mean,max_accepted_outside_mean,certificate_violation_count,source_ambiguity,global_ambiguity,diagnostics_json,expression,stop_reason
interaction_role_v8,0.3,100,16,balanced,quarter,25104,scsv-v6-anchor,1.0,1.0,1.0,0.0004136358406356841,0.8428366176000872,1,0,0,1.0,1.0,1.0,0.0,7.428744234999613,16271233,I(x2<-0.75)*x1*x2;cos(x2);x1*x2;x3^2,,,1;x3^2;cos(x2);x1*x2;I(x2<-0.75)*x1*x2,,,0.0,,,,0,0.0,0.0,[],-0.01242 + 0.6059·x₃² + 0.5258·cos(x₂) + 0.9347·x₁x₂ + 0.5817·𝟙[x₂<-0.75]·x₁x₂,"SCSV-Cert v6; score=1; bank=x1*x2,x3^2,cos(x3),I(x2<-0.75)*x1*x2,cos(x2); selector=1,x3^2,cos(x2),x1*x2,I(x2<-0.75)*x1*x2; probe_certified=1; sets=32; diagnostics=[{""best_swap_gain"":1.8783287243308848,""best_swap_rival"":""cos(x3)"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4"",""client-5"",""client-6"",""client-7"",""client-8"",""client-9"",""client-10"",""client-11"",""client-12"",""client-13"",""client-14"",""client-15"",""client-16""],""kind"":""core"",""loco_min_necessity_gain"":198.5314377458821,""loco_min_swap_gain"":0.20102038877365658,""necessity_gain"":233.93586998536335,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x3^2""},{""best_swap_gain"":40.139190887339076,""best_swap_rival"":""cos(x3)"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4"",""client-5"",""client-6"",""client-7"",""client-8"",""client-9"",""client-10"",""client-11"",""client-12"",""client-13"",""client-14"",""client-15"",""client-16""],""kind"":""core"",""loco_min_necessity_gain"":32.62791647924317,""loco_min_swap_gain"":34.52575802437206,""necessity_gain"":37.76250656211516,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""cos(x2)""},{""best_swap_gain"":886.9604420071267,""best_swap_rival"":""cos(x3)"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4"",""client-5"",""client-6"",""client-7"",""client-8"",""client-9"",""client-10"",""client-11"",""client-12"",""client-13"",""client-14"",""client-15"",""client-16""],""kind"":""core"",""loco_min_necessity_gain"":751.910345937823,""loco_min_swap_gain"":756.522732287212,""necessity_gain"":880.250131839889,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1*x2""},{""best_swap_gain"":null,""best_swap_rival"":null,""eligible_clients"":[""client-13"",""client-14"",""client-15"",""client-16""],""kind"":""exception"",""loco_min_necessity_gain"":null,""loco_min_swap_gain"":null,""necessity_gain"":76.05974185601563,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""I(x2<-0.75)*x1*x2""}]"
interaction_role_v8,0.3,100,16,balanced,quarter,25104,scsv-spcc-v8-strict-probe,1.0,1.0,1.0,0.0004136358406356841,0.8428366176000872,1,0,0,1.0,1.0,1.0,0.0,7.405313141000079,16271233,I(x2<-0.75)*x1*x2;cos(x2);x1*x2;x3^2,,1;x3^2;cos(x2);x1*x2;I(x2<-0.75)*x1*x2,1;x3^2;cos(x2);x1*x2;I(x2<-0.75)*x1*x2,x1*x2;x3^2;cos(x3);I(x2<-0.75)*x1*x2;cos(x2),,0.0,,,,0,0.0,0.0,[],-0.01242 + 0.6059·x₃² + 0.5258·cos(x₂) + 0.9347·x₁x₂ + 0.5817·𝟙[x₂<-0.75]·x₁x₂,"SCSV-SPCC v8; strict_probe=1; anchor=1,x3^2,cos(x2),x1*x2,I(x2<-0.75)*x1*x2; bank=x1*x2,x3^2,cos(x3),I(x2<-0.75)*x1*x2,cos(x2); source_linked=; accepted=; source_ambiguity=0; global_ambiguity=0; final=1,x3^2,cos(x2),x1*x2,I(x2<-0.75)*x1*x2"
interaction_role_v8,0.3,100,16,balanced,quarter,25104,scsv-rcd-v7-style,1.0,1.0,1.0,0.0004136358406356841,0.8428366176000872,1,0,0,1.0,1.0,1.0,0.0,7.433163539999441,16271233,I(x2<-0.75)*x1*x2;cos(x2);x1*x2;x3^2,,1;x3^2;cos(x2);x1*x2;I(x2<-0.75)*x1*x2,1;x3^2;cos(x2);x1*x2;I(x2<-0.75)*x1*x2,x1*x2;x3^2;cos(x3);I(x2<-0.75)*x1*x2;cos(x2),,0.0,,,,0,0.0,0.0,[],-0.01242 + 0.6059·x₃² + 0.5258·cos(x₂) + 0.9347·x₁x₂ + 0.5817·𝟙[x₂<-0.75]·x₁x₂,"SCSV-RCD v7; probe_required=1; anchor=1,x3^2,cos(x2),x1*x2,I(x2<-0.75)*x1*x2; bank=x1*x2,x3^2,cos(x3),I(x2<-0.75)*x1*x2,cos(x2); source_linked=; accepted=; ambiguity=0; final=1,x3^2,cos(x2),x1*x2,I(x2<-0.75)*x1*x2"
interaction_role_v8,0.3,100,16,balanced,quarter,25104,centralized-forward,1.0,1.0,1.0,0.00041363584063568566,0.8428366176000872,1,0,0,1.0,1.0,1.0,0.0,0.05218674599927908,0,I(x2<-0.75)*x1*x2;cos(x2);x1*x2;x3^2,,,1;x1*x2;x3^2;I(x2<-0.75)*x1*x2;cos(x2),,,0.0,,,,0,0.0,0.0,[],-0.01242 + 0.9347·x₁x₂ + 0.6059·x₃² + 0.5817·𝟙[x₂<-0.75]·x₁x₂ + 0.5258·cos(x₂),information criterion stopped
interaction_role_v8,0.3,100,16,balanced,quarter,25105,scsv-spcc-v8-full,1.0,1.0,1.0,0.0005705477174458224,0.7965898431825239,1,0,0,1.0,1.0,1.0,0.0,7.804060024000137,16563460,I(x2<-0.75)*x1*x2;cos(x2);x1*x2;x3^2,,1;x3^2;cos(x2);x1*x2;I(x2<-0.75)*x1*x2,1;x3^2;cos(x2);x1*x2;I(x2<-0.75)*x1*x2,x1*x2;cos(x3);x3^2;I(x2<-0.75)*x1*x2;cos(x2);x4^2,,0.0,,,,0,0.0,0.0,[],0.008977 + 0.5749·x₃² + 0.611·cos(x₂) + 0.9006·x₁x₂ + 0.6459·𝟙[x₂<-0.75]·x₁x₂,"SCSV-SPCC v8; strict_probe=0; anchor=1,x3^2,cos(x2),x1*x2,I(x2<-0.75)*x1*x2; bank=x1*x2,cos(x3),x3^2,I(x2<-0.75)*x1*x2,cos(x2),x4^2; source_linked=; accepted=; source_ambiguity=0; global_ambiguity=0; final=1,x3^2,cos(x2),x1*x2,I(x2<-0.75)*x1*x2"
interaction_role_v8,0.3,100,16,balanced,quarter,25105,scsv-v6-anchor,1.0,1.0,1.0,0.0005705477174458224,0.7965898431825239,1,0,0,1.0,1.0,1.0,0.0,7.802284010000221,16563460,I(x2<-0.75)*x1*x2;cos(x2);x1*x2;x3^2,,,1;x3^2;cos(x2);x1*x2;I(x2<-0.75)*x1*x2,,,0.0,,,,0,0.0,0.0,[],0.008977 + 0.5749·x₃² + 0.611·cos(x₂) + 0.9006·x₁x₂ + 0.6459·𝟙[x₂<-0.75]·x₁x₂,"SCSV-Cert v6; score=1; bank=x1*x2,cos(x3),x3^2,I(x2<-0.75)*x1*x2,cos(x2),x4^2; selector=1,x3^2,cos(x2),x1*x2,I(x2<-0.75)*x1*x2; probe_certified=0; sets=63; diagnostics=[{""best_swap_gain"":0.8047879265693325,""best_swap_rival"":""cos(x3)"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4"",""client-5"",""client-6"",""client-7"",""client-8"",""client-9"",""client-10"",""client-11"",""client-12"",""client-13"",""client-14"",""client-15"",""client-16""],""kind"":""core"",""loco_min_necessity_gain"":171.08987655147416,""loco_min_swap_gain"":-1.1402309616403556,""necessity_gain"":196.90663060836977,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":false,""reason"":""surrogate one-swap falsification failed"",""swap_passed"":false,""term"":""x3^2""},{""best_swap_gain"":53.44132744132127,""best_swap_rival"":""cos(x3)"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4"",""client-5"",""client-6"",""client-7"",""client-8"",""client-9"",""client-10"",""client-11"",""client-12"",""client-13"",""client-14"",""client-15"",""client-16""],""kind"":""core"",""loco_min_necessity_gain"":42.02086176210905,""loco_min_swap_gain"":41.83658558110404,""necessity_gain"":53.69867779048282,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""cos(x2)""},{""best_swap_gain"":736.1788197707463,""best_swap_rival"":""x4^2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4"",""client-5"",""client-6"",""client-7"",""client-8"",""client-9"",""client-10"",""client-11"",""client-12"",""client-13"",""client-14"",""client-15"",""client-16""],""kind"":""core"",""loco_min_necessity_gain"":620.4016342915357,""loco_min_swap_gain"":624.7332605293643,""necessity_gain"":730.0045630836541,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1*x2""},{""best_swap_gain"":null,""best_swap_rival"":null,""eligible_clients"":[""client-13"",""client-14"",""client-15"",""client-16""],""kind"":""exception"",""loco_min_necessity_gain"":null,""loco_min_swap_gain"":null,""necessity_gain"":62.28949875229151,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""I(x2<-0.75)*x1*x2""}]"
interaction_role_v8,0.3,100,16,balanced,quarter,25105,scsv-spcc-v8-strict-probe,1.0,1.0,1.0,0.0005705477174458224,0.7965898431825239,1,0,0,1.0,1.0,1.0,0.0,7.77479746499921,16563460,I(x2<-0.75)*x1*x2;cos(x2);x1*x2;x3^2,,1;x3^2;cos(x2);x1*x2;I(x2<-0.75)*x1*x2,1;x3^2;cos(x2);x1*x2;I(x2<-0.75)*x1*x2,x1*x2;cos(x3);x3^2;I(x2<-0.75)*x1*x2;cos(x2);x4^2,,0.0,,,,0,0.0,0.0,[],0.008977 + 0.5749·x₃² + 0.611·cos(x₂) + 0.9006·x₁x₂ + 0.6459·𝟙[x₂<-0.75]·x₁x₂,"SCSV-SPCC v8; strict_probe=1; anchor=1,x3^2,cos(x2),x1*x2,I(x2<-0.75)*x1*x2; bank=x1*x2,cos(x3),x3^2,I(x2<-0.75)*x1*x2,cos(x2),x4^2; source_linked=; accepted=; source_ambiguity=0; global_ambiguity=0; final=1,x3^2,cos(x2),x1*x2,I(x2<-0.75)*x1*x2"
interaction_role_v8,0.3,100,16,balanced,quarter,25105,scsv-rcd-v7-style,1.0,1.0,1.0,0.0005705477174458224,0.7965898431825239,1,0,0,1.0,1.0,1.0,0.0,7.7788963399998465,16563460,I(x2<-0.75)*x1*x2;cos(x2);x1*x2;x3^2,,1;x3^2;cos(x2);x1*x2;I(x2<-0.75)*x1*x2,1;x3^2;cos(x2);x1*x2;I(x2<-0.75)*x1*x2,x1*x2;cos(x3);x3^2;I(x2<-0.75)*x1*x2;cos(x2);x4^2,,0.0,,,,0,0.0,0.0,[],0.008977 + 0.5749·x₃² + 0.611·cos(x₂) + 0.9006·x₁x₂ + 0.6459·𝟙[x₂<-0.75]·x₁x₂,"SCSV-RCD v7; probe_required=1; anchor=1,x3^2,cos(x2),x1*x2,I(x2<-0.75)*x1*x2; bank=x1*x2,cos(x3),x3^2,I(x2<-0.75)*x1*x2,cos(x2),x4^2; source_linked=; accepted=; ambiguity=0; final=1,x3^2,cos(x2),x1*x2,I(x2<-0.75)*x1*x2"
interaction_role_v8,0.3,100,16,balanced,quarter,25105,centralized-forward,1.0,1.0,1.0,0.000570547717445819,0.7965898431825239,1,0,0,1.0,1.0,1.0,0.0,0.051876974999686354,0,I(x2<-0.75)*x1*x2;cos(x2);x1*x2;x3^2,,,1;x1*x2;x3^2;I(x2<-0.75)*x1*x2;cos(x2),,,0.0,,,,0,0.0,0.0,[],0.008977 + 0.9006·x₁x₂ + 0.5749·x₃² + 0.6459·𝟙[x₂<-0.75]·x₁x₂ + 0.611·cos(x₂),information criterion stopped
interaction_role_v8,0.1,100,16,imbalanced,single,25101,scsv-spcc-v8-full,1.0,1.0,1.0,8.221328770644997e-05,0.07479727656705784,1,0,0,1.0,1.0,1.0,0.0,10.565163666000444,18731615,I(x2<-0.75)*x1*x2;cos(x2);x1*x2;x3^2,,1;x3^2;cos(x2);x1*x2;I(x2<-0.75)*x1*x2,1;x3^2;cos(x2);x1*x2;I(x2<-0.75)*x1*x2,x1;x1*x2;x3^2;x2;cos(x2);I(x2<-0.75)*x1*x2;sin(x1),,0.0,,,,0,0.0,0.0,[],-0.01158 + 0.6016·x₃² + 0.5457·cos(x₂) + 0.8946·x₁x₂ + 0.61·𝟙[x₂<-0.75]·x₁x₂,"SCSV-SPCC v8; strict_probe=0; anchor=1,x3^2,cos(x2),x1*x2,I(x2<-0.75)*x1*x2; bank=x1,x1*x2,x3^2,x2,cos(x2),I(x2<-0.75)*x1*x2,sin(x1); source_linked=; accepted=; source_ambiguity=0; global_ambiguity=0; final=1,x3^2,cos(x2),x1*x2,I(x2<-0.75)*x1*x2"
