benchmark,scenario,noise_ratio,samples_per_client,num_clients,seed,method,exact_recovery,term_precision,term_recall,test_nmse,train_mse,spurious_accepted,exception_recovered,fallback_selected,selected_source,validation_mse,worst_validation_mse,runtime_seconds,communication_bytes,discovered_terms,expression,stop_reason,candidate_bank_target_recall,candidate_bank_contains_all_truth,candidate_bank_size,candidate_bank_nuisance_count,probe_certified,candidate_sets_evaluated,necessity_failures,swap_failures,exception_eligible_diagnostics,selector_structure,panel,balance_profile,nominal_samples_per_client,client_sizes,communication_per_client,frozen_v6_anchor_structure,fcrra_final_structure,anchor_discovery_coefficients,fcrra_final_coefficients,exception_term,exception_in_bank,exception_in_anchor,fcrra_attempted,eligible_discovery_clients,eligible_discovery_support,eligible_selector_clients,eligible_selector_support,residual_numerator,residual_denominator,exception_coefficient,anchor_role_information_score,augmented_role_information_score,outside_selector_sse_max_difference,outside_selector_prediction_max_difference,augmentation_accepted
cubic_cross,complementary,0.2,100,4,20101,fcrra-spent-diagnostic,1.0,1.0,1.0,0.00016692186929838357,1.3631951872226018,0.0,1.0,0.0,frozen-v6-anchor,1.020047502683236,1.3309367010725226,1.5090170419999964,2986902,x1*x2;x1^3;x3^2,0.04657 + 0.5155·x₃² + 0.8064·x₁³ + 1.188·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,6,3,1.0,63,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,746725.5,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,"[0.12100946453977324,0.482905973479985,0.8098502585329119,1.1680739841096663]","[0.046574641433628966,0.5155317683223288,0.8063865264194205,1.187516793760408]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
cubic_cross,complementary,0.2,100,4,20102,fcrra-spent-diagnostic,1.0,1.0,1.0,0.00023878203366111222,0.806967542244354,0.0,1.0,0.0,frozen-v6-anchor,0.8608847783980142,1.076997181122819,1.514953625000004,2993058,x1*x2;x1^3;x3^2,-0.03794 + 0.4889·x₃² + 0.7884·x₁³ + 1.187·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,748264.5,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,"[-0.09274582568099499,0.5016839370715247,0.78380050483368,1.1904503452582156]","[-0.0379383675059215,0.4888849510066167,0.7884418944899264,1.1866271545686682]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
cubic_cross,complementary,0.2,100,4,20103,fcrra-spent-diagnostic,1.0,1.0,1.0,0.0001611605808223213,1.2777871246509753,0.0,1.0,0.0,frozen-v6-anchor,1.371612538401275,1.9465362778849642,1.5504362890000039,3019547,x1*x2;x1^3;x3^2,-0.05061 + 0.5363·x₃² + 0.8059·x₁³ + 1.179·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,754886.75,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,"[-0.16948308435509496,0.5743903776434379,0.7979188075338484,1.1803274540834496]","[-0.050612065867904725,0.5363075039274207,0.8058514486678947,1.1786627555391251]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
cubic_cross,complementary,0.2,100,4,20104,fcrra-spent-diagnostic,1.0,1.0,1.0,0.0005391394012309588,1.085950251686367,0.0,1.0,0.0,frozen-v6-anchor,1.3520342617699248,1.7750648193691176,1.5177547149999953,2989698,x1*x2;x1^3;x3^2,-0.1335 + 0.5065·x₃² + 0.8081·x₁³ + 1.249·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,747424.5,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,"[-0.16509397341042686,0.5008715301352751,0.8057669028967983,1.2629122376032749]","[-0.1335095775845442,0.5064841419430592,0.8080905541109503,1.2492923915608631]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
cubic_cross,complementary,0.2,100,4,20105,fcrra-spent-diagnostic,1.0,1.0,1.0,7.816166112985525e-05,1.240675632871612,0.0,1.0,0.0,frozen-v6-anchor,0.9239207283662471,1.3253392606522842,1.5260624480000047,2988949,x1*x2;x1^3;x3^2,-0.07482 + 0.5191·x₃² + 0.801·x₁³ + 1.18·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,747237.25,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,"[-0.06340486936715095,0.4886788301186291,0.7990902196633105,1.1382792991223862]","[-0.07482057809453999,0.5191409130221639,0.8010076322229664,1.1801341829800813]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
cubic_cross,complementary,0.2,250,4,20101,fcrra-spent-diagnostic,0.0,0.5,0.6666666666666666,0.005223123034028242,1.1006096147660387,0.0,1.0,0.0,frozen-v6-anchor,1.093438041265922,1.2776232842310664,1.5705665140000065,3002010,sin(x1);x1;x1*x2;x3^2,-0.03552 + 6.593·x₁ + 0.479·x₃² - 7.065·sin(x₁) + 1.218·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,x1,x3^2,sin(x1),x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,x1,x3^2,sin(x1),x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,0.0,120,0,2,0,1;x1;x3^2;sin(x1);x1*x2,G,balanced,250,250;250;250;250,750502.5,1;x1;x3^2;sin(x1);x1*x2,1;x1;x3^2;sin(x1);x1*x2,"[0.003887560746407096,6.602537498427065,0.46686232012492807,-7.135372588154443,1.2036063957129979]","[-0.035516383104942775,6.5931272196597375,0.47904763882841384,-7.064745182869809,1.2177872665939458]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
cubic_cross,complementary,0.2,250,4,20102,fcrra-spent-diagnostic,1.0,1.0,1.0,0.00011026934826922524,1.2161981192005062,0.0,1.0,0.0,frozen-v6-anchor,1.2561926367459864,1.4578523800324774,1.577038587000004,3003700,x1*x2;x1^3;x3^2,0.09885 + 0.4787·x₃² + 0.7934·x₁³ + 1.198·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,250,250;250;250;250,750925.0,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,"[0.14352128452871948,0.45091102323463983,0.7876244060282179,1.196254094205187]","[0.09884513697563133,0.4786697064583447,0.793390350963722,1.19771572621206]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
cubic_cross,complementary,0.2,250,4,20103,fcrra-spent-diagnostic,1.0,1.0,1.0,8.714411221320798e-05,1.0148916864657798,0.0,1.0,0.0,frozen-v6-anchor,0.9740566999911809,1.3497954983609153,1.607946499999997,3004264,x1*x2;x1^3;x3^2,-0.009017 + 0.5033·x₃² + 0.8067·x₁³ + 1.216·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,0.0,120,0,1,0,1;x3^2;x1^3;x1*x2,G,balanced,250,250;250;250;250,751066.0,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,"[0.010091303020998588,0.4956475458947591,0.8066032672773431,1.2025280346663179]","[-0.009016842545532982,0.5033425435617686,0.8066983170323717,1.2156671628961784]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
cubic_cross,complementary,0.2,250,4,20104,fcrra-spent-diagnostic,1.0,1.0,1.0,0.0001549950051302454,0.9703115852986233,0.0,1.0,0.0,frozen-v6-anchor,1.0168396924897865,1.1889047305487435,1.6190575689999918,3004263,x1*x2;x1^3;x3^2,-0.04775 + 0.5044·x₃² + 0.7967·x₁³ + 1.168·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,250,250;250;250;250,751065.75,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,"[-0.03700590386971658,0.5057720209886948,0.7978787681393444,1.178894306128222]","[-0.04774759059150959,0.5043576962622088,0.7966747188923566,1.1679311613973136]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
cubic_cross,complementary,0.2,250,4,20105,fcrra-spent-diagnostic,0.0,0.6666666666666666,0.6666666666666666,0.000794632605207913,1.2709917196530394,0.0,1.0,0.0,frozen-v6-anchor,1.1378829925961942,1.3767731200435853,1.5716257269999971,3003095,cos(x3);x1*x2;x1^3,1.266 - 1.472·cos(x₃) + 0.8023·x₁³ + 1.249·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,cos(x3),x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,cos(x3),x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,0.0,120,0,1,0,1;cos(x3);x1^3;x1*x2,G,balanced,250,250;250;250;250,750773.75,1;cos(x3);x1^3;x1*x2,1;cos(x3);x1^3;x1*x2,"[1.2711379759375327,-1.5105437867984488,0.7985670698512521,1.2446089774180484]","[1.2661778923029647,-1.4716336954457983,0.802336043170966,1.2487798838946356]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
