benchmark,scenario,noise_ratio,samples_per_client,num_clients,seed,method,exact_recovery,term_precision,term_recall,test_nmse,train_mse,spurious_accepted,exception_recovered,runtime_seconds,communication_bytes,search_evaluations,discovered_terms,expression,stop_reason
base,complementary,0.03,300,4,9006,fedfalsify-v05,1.0,1.0,1.0,1.911364736511285e-06,0.007816584013229644,0.0,1.0,0.6883392089998779,238264,5,sin(x2);x1;x3^2,0.001731 + 1.999·x₁ + 0.4982·x₃² + 0.9966·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9006,centralized-tree-gp,0.0,0.0,0.0,1.9113647283422894e-06,0.007816584013229641,0.0,1.0,3.360258052000063,0,1572,"expr:add(sin(x2),square(x3));expr:add(sin(x2),x1);expr:add(x1,x1)",0.001731 + 0.4982*(sin(x2)+(x3)^2) + 0.4984*(sin(x2)+x1) + 0.7502*(x1+x1),generation budget reached
base,complementary,0.03,300,4,9006,federated-tree-gp-style,0.0,0.0,0.0,1.9113647283433566e-06,0.007816584013229644,0.0,1.0,2.361676774999978,606528,1572,"expr:add(sin(x2),square(x3));expr:add(sin(x2),x1);expr:add(x1,x1)",0.001731 + 0.4982*(sin(x2)+(x3)^2) + 0.4984*(sin(x2)+x1) + 0.7502*(x1+x1),generation budget reached
base,complementary,0.03,300,4,9006,centralized-residual-counterexample-gp,0.0,0.0,0.0,1.9113647283422894e-06,0.007816584013229641,0.0,1.0,0.8407876269998269,0,1547,"expr:add(sin(x2),square(x3));expr:add(sin(x2),x1);expr:add(x1,x1)",0.001731 + 0.4982*(sin(x2)+(x3)^2) + 0.4984*(sin(x2)+x1) + 0.7502*(x1+x1),generation budget reached
base,complementary,0.03,300,4,9007,fedfalsify-v05,1.0,1.0,1.0,3.5794267156664244e-06,0.007612524602412729,0.0,1.0,0.2808632450000914,238513,5,sin(x2);x1;x3^2,-0.002844 + 2.001·x₁ + 0.503·x₃² + 0.998·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9007,centralized-tree-gp,0.0,0.3333333333333333,0.3333333333333333,3.5794267071906383e-06,0.007612524602412727,0.0,1.0,0.8825072110000747,0,1608,"expr:add(sin(x2),square(x3));expr:add(sin(x2),x1);x1",-0.002844 + 0.503*(sin(x2)+(x3)^2) + 0.4951*(sin(x2)+x1) + 1.506*x1,generation budget reached
base,complementary,0.03,300,4,9007,federated-tree-gp-style,0.0,0.3333333333333333,0.3333333333333333,3.5794267071911126e-06,0.007612524602412729,0.0,1.0,1.122056238000141,657600,1608,"expr:add(sin(x2),square(x3));expr:add(sin(x2),x1);x1",-0.002844 + 0.503*(sin(x2)+(x3)^2) + 0.4951*(sin(x2)+x1) + 1.506*x1,generation budget reached
base,complementary,0.03,300,4,9007,centralized-residual-counterexample-gp,0.0,0.0,0.0,4.464935647303529e-06,0.007597218175076576,0.0,1.0,0.9158287660000042,0,1607,"expr:add(sin(x2),square(x3));expr:add(sin(x2),x1);expr:add(x1,x1)",-0.003272 + 0.5064*(sin(x2)+(x3)^2) + 0.4916*(sin(x2)+x1) + 0.756*(x1+x1) - 0.000769*(((x3)^2+x1))^2,generation budget reached
base,complementary,0.03,300,4,9008,fedfalsify-v05,1.0,1.0,1.0,2.2072916059011736e-06,0.007792168508862531,0.0,1.0,0.4287797029999183,421170,5,sin(x2);x1;x3^2,0.00102 + 1.999·x₁ + 0.4979·x₃² + 1.002·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9008,centralized-tree-gp,0.0,0.0,0.0,0.009576722159866139,0.06516502648286221,0.0,1.0,0.8501843960000315,0,1598,"expr:add(sin(x2),x1);expr:add(x1,x1);expr:sin(add(cos(x3),sin(x1)));expr:square(add(cos(x1),square(x3)))",0.5106 + 1*(sin(x2)+x1) + 0.5857*(x1+x1) - 0.5153*sin((cos(x3)+sin(x1))) + 0.062*((cos(x1)+(x3)^2))^2,generation budget reached
base,complementary,0.03,300,4,9008,federated-tree-gp-style,0.0,0.0,0.0,0.009576722159866102,0.06516502648286222,0.0,1.0,1.1399759319999703,631168,1598,"expr:add(sin(x2),x1);expr:add(x1,x1);expr:sin(add(cos(x3),sin(x1)));expr:square(add(cos(x1),square(x3)))",0.5106 + 1*(sin(x2)+x1) + 0.5857*(x1+x1) - 0.5153*sin((cos(x3)+sin(x1))) + 0.062*((cos(x1)+(x3)^2))^2,generation budget reached
base,complementary,0.03,300,4,9008,centralized-residual-counterexample-gp,0.0,0.25,0.3333333333333333,0.01035114440582195,0.09677566668539361,0.0,1.0,0.9162848099999792,0,1618,"expr:add(sin(x2),x1);expr:sin(add(cos(x3),sin(x1)));expr:square(add(sin(x3),square(x3)));x1",0.6228 + 0.9562*(sin(x2)+x1) - 0.6417*sin((cos(x3)+sin(x1))) + 0.05574*((sin(x3)+(x3)^2))^2 + 1.246*x1,generation budget reached
base,complementary,0.03,300,4,9009,fedfalsify-v05,1.0,1.0,1.0,3.952097609926752e-06,0.007610551751624929,0.0,1.0,0.4959756910000124,238321,5,sin(x2);x1;x3^2,0.003793 + 1.997·x₁ + 0.5001·x₃² + 1.004·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9009,centralized-tree-gp,0.0,0.3333333333333333,0.3333333333333333,0.008520572409576675,0.08542878812755887,0.0,1.0,1.426163679999945,0,1613,"expr:add(sin(x2),x1);expr:square(add(cos(x2),square(x3)));x1",0.2862 + 0.9936*(sin(x2)+x1) + 0.0728*((cos(x2)+(x3)^2))^2 + 0.000956*(((x2)^2*(x3)^2))^2 + 1.009*x1,generation budget reached
base,complementary,0.03,300,4,9009,federated-tree-gp-style,0.0,0.3333333333333333,0.3333333333333333,0.0085205724095767,0.08542878812755884,0.0,1.0,1.8925855299999057,652224,1613,"expr:add(sin(x2),x1);expr:square(add(cos(x2),square(x3)));x1",0.2862 + 0.9936*(sin(x2)+x1) + 0.0728*((cos(x2)+(x3)^2))^2 + 0.000956*(((x2)^2*(x3)^2))^2 + 1.009*x1,generation budget reached
base,complementary,0.03,300,4,9009,centralized-residual-counterexample-gp,0.0,0.0,0.0,0.007958213848166749,0.05619415452872147,0.0,1.0,1.2849602399999185,0,1624,"expr:add(sin(x2),x1);expr:add(x1,x1);expr:cos(add(cos(x3),cos(x3)));expr:square(add(cos(x2),square(x3)))",0.1866 + 0.9815*(sin(x2)+x1) + 0.5076*(x1+x1) + 0.5344*cos((cos(x3)+cos(x3))) + 0.06864*((cos(x2)+(x3)^2))^2,generation budget reached
base,complementary,0.03,300,4,9010,fedfalsify-v05,1.0,1.0,1.0,1.4635983146532082e-06,0.007964440498238223,0.0,1.0,0.3022956120000799,238384,5,sin(x2);x1;x3^2,0.005129 + 2·x₁ + 0.4978·x₃² + 1.002·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9010,centralized-tree-gp,0.0,0.3333333333333333,0.3333333333333333,1.4613194069170692e-06,0.007964361709375069,0.0,1.0,1.0236203970000588,0,1582,"expr:add(sin(x2),x1);expr:add(x1,x1);x3^2",0.00437 + 0.0008557*(cos(x3)+sin(x1)) + 1.002*(sin(x2)+x1) + 0.4989*(x1+x1) + 0.4981*(x3*x3),generation budget reached
base,complementary,0.03,300,4,9010,federated-tree-gp-style,0.0,0.3333333333333333,0.3333333333333333,1.4613194069174997e-06,0.007964361709375065,0.0,1.0,1.2147799379999924,642176,1582,"expr:add(sin(x2),x1);expr:add(x1,x1);x3^2",0.00437 + 0.0008557*(cos(x3)+sin(x1)) + 1.002*(sin(x2)+x1) + 0.4989*(x1+x1) + 0.4981*(x3*x3),generation budget reached
base,complementary,0.03,300,4,9010,centralized-residual-counterexample-gp,0.0,0.3333333333333333,0.3333333333333333,1.4613194069170692e-06,0.007964361709375069,0.0,1.0,0.871827015000008,0,1587,"expr:add(sin(x2),x1);expr:add(x1,x1);x3^2",0.00437 + 0.0008557*(cos(x3)+sin(x1)) + 1.002*(sin(x2)+x1) + 0.4989*(x1+x1) + 0.4981*(x3*x3),generation budget reached
base,complementary,0.1,300,4,9006,fedfalsify-v05,1.0,1.0,1.0,2.1237385873700482e-05,0.08685093348032939,0.0,1.0,0.2740797510000448,237755,5,sin(x2);x1;x3^2,0.005768 + 1.996·x₁ + 0.494·x₃² + 0.9887·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.1,300,4,9006,centralized-tree-gp,0.0,0.0,0.0,3.0174530741870936e-05,0.08681302750245298,0.0,1.0,0.8273714459999155,0,1576,"expr:add(sin(x1),square(x3));expr:add(sin(x1),x1);expr:add(sin(x2),x1);expr:add(x1,x1)",0.006486 + 0.494*(sin(x1)+(x3)^2) - 0.4753*(sin(x1)+x1) + 0.9896*(sin(x2)+x1) + 0.7363*(x1+x1),generation budget reached
base,complementary,0.1,300,4,9006,federated-tree-gp-style,0.0,0.0,0.0,3.01745307419625e-05,0.08681302750245298,0.0,1.0,1.0704947199999424,613568,1576,"expr:add(sin(x1),square(x3));expr:add(sin(x1),x1);expr:add(sin(x2),x1);expr:add(x1,x1)",0.006486 + 0.494*(sin(x1)+(x3)^2) - 0.4753*(sin(x1)+x1) + 0.9896*(sin(x2)+x1) + 0.7363*(x1+x1),generation budget reached
base,complementary,0.1,300,4,9006,centralized-residual-counterexample-gp,0.0,0.0,0.0,3.0174530741870936e-05,0.08681302750245298,0.0,1.0,0.8844853129999137,0,1584,"expr:add(sin(x1),square(x3));expr:add(sin(x1),x1);expr:add(sin(x2),x1);expr:add(x1,x1)",0.006486 + 0.494*(sin(x1)+(x3)^2) - 0.4753*(sin(x1)+x1) + 0.9896*(sin(x2)+x1) + 0.7363*(x1+x1),generation budget reached
base,complementary,0.1,300,4,9007,fedfalsify-v05,1.0,1.0,1.0,3.977140800933047e-05,0.08458360669347478,0.0,1.0,0.2967523610000171,237982,5,sin(x2);x1;x3^2,-0.009479 + 2.004·x₁ + 0.5099·x₃² + 0.9934·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.1,300,4,9007,centralized-tree-gp,0.0,0.3333333333333333,0.3333333333333333,3.977140798029243e-05,0.08458360669347478,0.0,1.0,0.8759823299999425,0,1611,"expr:add(sin(x2),square(x3));expr:add(sin(x2),x1);x1",-0.009479 + 0.5099*(sin(x2)+(x3)^2) + 0.4835*(sin(x2)+x1) + 1.52*x1,generation budget reached
base,complementary,0.1,300,4,9007,federated-tree-gp-style,0.0,0.3333333333333333,0.3333333333333333,3.977140798028884e-05,0.08458360669347478,0.0,1.0,1.1261120239998945,655936,1611,"expr:add(sin(x2),square(x3));expr:add(sin(x2),x1);x1",-0.009479 + 0.5099*(sin(x2)+(x3)^2) + 0.4835*(sin(x2)+x1) + 1.52*x1,generation budget reached
