benchmark,scenario,noise_ratio,samples_per_client,num_clients,seed,method,exact_recovery,term_precision,term_recall,test_nmse,train_mse,spurious_accepted,exception_recovered,fallback_selected,selected_source,validation_mse,worst_validation_mse,runtime_seconds,communication_bytes,discovered_terms,expression,stop_reason,candidate_bank_target_recall,candidate_bank_contains_all_truth,candidate_bank_size,candidate_bank_nuisance_count,probe_certified,candidate_sets_evaluated,necessity_failures,swap_failures,exception_eligible_diagnostics,selector_structure,panel,balance_profile,nominal_samples_per_client,client_sizes,communication_per_client,frozen_v6_anchor_structure,rcsa_final_structure,exception_term,exception_in_bank,exception_in_anchor,rcsa_attempted,eligible_selector_clients,eligible_selector_support,anchor_role_information_score,augmented_role_information_score,outside_selector_sse_anchor,outside_selector_sse_augmented,augmentation_accepted
cubic_cross,complementary,0.2,100,4,20101,rcsa-spent-diagnostic,1.0,1.0,1.0,0.00016692186929838357,1.3631951872226018,0.0,1.0,0.0,frozen-v6-anchor,1.020047502683236,1.3309367010725226,2.0032061469999576,2986902,x1*x2;x1^3;x3^2,0.04657 + 0.5155·x₃² + 0.8064·x₁³ + 1.188·x₁x₂,"RCSA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible=; anchor_role_ic=None; augmented_role_ic=None; outside_anchor_sse=None; outside_augmented_sse=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,6,3,1.0,63,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,746725.5,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,,0.0,0.0,0.0,,0,,,,,0.0
cubic_cross,complementary,0.2,100,4,20102,rcsa-spent-diagnostic,1.0,1.0,1.0,0.00023878203366111222,0.806967542244354,0.0,1.0,0.0,frozen-v6-anchor,0.8608847783980142,1.076997181122819,2.018375614999968,2993058,x1*x2;x1^3;x3^2,-0.03794 + 0.4889·x₃² + 0.7884·x₁³ + 1.187·x₁x₂,"RCSA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible=; anchor_role_ic=None; augmented_role_ic=None; outside_anchor_sse=None; outside_augmented_sse=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,748264.5,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,,0.0,0.0,0.0,,0,,,,,0.0
cubic_cross,complementary,0.2,100,4,20103,rcsa-spent-diagnostic,1.0,1.0,1.0,0.0001611605808223213,1.2777871246509753,0.0,1.0,0.0,frozen-v6-anchor,1.371612538401275,1.9465362778849642,2.062103179000019,3019547,x1*x2;x1^3;x3^2,-0.05061 + 0.5363·x₃² + 0.8059·x₁³ + 1.179·x₁x₂,"RCSA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible=; anchor_role_ic=None; augmented_role_ic=None; outside_anchor_sse=None; outside_augmented_sse=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,754886.75,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,,0.0,0.0,0.0,,0,,,,,0.0
cubic_cross,complementary,0.2,100,4,20104,rcsa-spent-diagnostic,1.0,1.0,1.0,0.0005391394012309588,1.085950251686367,0.0,1.0,0.0,frozen-v6-anchor,1.3520342617699248,1.7750648193691176,2.013316874999987,2989698,x1*x2;x1^3;x3^2,-0.1335 + 0.5065·x₃² + 0.8081·x₁³ + 1.249·x₁x₂,"RCSA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible=; anchor_role_ic=None; augmented_role_ic=None; outside_anchor_sse=None; outside_augmented_sse=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,747424.5,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,,0.0,0.0,0.0,,0,,,,,0.0
cubic_cross,complementary,0.2,100,4,20105,rcsa-spent-diagnostic,1.0,1.0,1.0,7.816166112985525e-05,1.240675632871612,0.0,1.0,0.0,frozen-v6-anchor,0.9239207283662471,1.3253392606522842,2.0073273449999647,2988949,x1*x2;x1^3;x3^2,-0.07482 + 0.5191·x₃² + 0.801·x₁³ + 1.18·x₁x₂,"RCSA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible=; anchor_role_ic=None; augmented_role_ic=None; outside_anchor_sse=None; outside_augmented_sse=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,747237.25,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,,0.0,0.0,0.0,,0,,,,,0.0
cubic_cross,complementary,0.2,250,4,20101,rcsa-spent-diagnostic,0.0,0.5,0.6666666666666666,0.005223123034028242,1.1006096147660387,0.0,1.0,0.0,frozen-v6-anchor,1.093438041265922,1.2776232842310664,2.031746573000021,3002010,sin(x1);x1;x1*x2;x3^2,-0.03552 + 6.593·x₁ + 0.479·x₃² - 7.065·sin(x₁) + 1.218·x₁x₂,"RCSA spent-seed diagnostic; anchor=1,x1,x3^2,sin(x1),x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible=; anchor_role_ic=None; augmented_role_ic=None; outside_anchor_sse=None; outside_augmented_sse=None; accepted=0; final=1,x1,x3^2,sin(x1),x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,0.0,120,0,2,0,1;x1;x3^2;sin(x1);x1*x2,G,balanced,250,250;250;250;250,750502.5,1;x1;x3^2;sin(x1);x1*x2,1;x1;x3^2;sin(x1);x1*x2,,0.0,0.0,0.0,,0,,,,,0.0
cubic_cross,complementary,0.2,250,4,20102,rcsa-spent-diagnostic,1.0,1.0,1.0,0.00011026934826922524,1.2161981192005062,0.0,1.0,0.0,frozen-v6-anchor,1.2561926367459864,1.4578523800324774,2.038291421999986,3003700,x1*x2;x1^3;x3^2,0.09885 + 0.4787·x₃² + 0.7934·x₁³ + 1.198·x₁x₂,"RCSA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible=; anchor_role_ic=None; augmented_role_ic=None; outside_anchor_sse=None; outside_augmented_sse=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,250,250;250;250;250,750925.0,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,,0.0,0.0,0.0,,0,,,,,0.0
cubic_cross,complementary,0.2,250,4,20103,rcsa-spent-diagnostic,1.0,1.0,1.0,8.714411221320798e-05,1.0148916864657798,0.0,1.0,0.0,frozen-v6-anchor,0.9740566999911809,1.3497954983609153,2.034419889999981,3004264,x1*x2;x1^3;x3^2,-0.009017 + 0.5033·x₃² + 0.8067·x₁³ + 1.216·x₁x₂,"RCSA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible=; anchor_role_ic=None; augmented_role_ic=None; outside_anchor_sse=None; outside_augmented_sse=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,0.0,120,0,1,0,1;x3^2;x1^3;x1*x2,G,balanced,250,250;250;250;250,751066.0,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,,0.0,0.0,0.0,,0,,,,,0.0
cubic_cross,complementary,0.2,250,4,20104,rcsa-spent-diagnostic,1.0,1.0,1.0,0.0001549950051302454,0.9703115852986233,0.0,1.0,0.0,frozen-v6-anchor,1.0168396924897865,1.1889047305487435,2.0413654370000245,3004263,x1*x2;x1^3;x3^2,-0.04775 + 0.5044·x₃² + 0.7967·x₁³ + 1.168·x₁x₂,"RCSA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible=; anchor_role_ic=None; augmented_role_ic=None; outside_anchor_sse=None; outside_augmented_sse=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,250,250;250;250;250,751065.75,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,,0.0,0.0,0.0,,0,,,,,0.0
cubic_cross,complementary,0.2,250,4,20105,rcsa-spent-diagnostic,0.0,0.6666666666666666,0.6666666666666666,0.000794632605207913,1.2709917196530394,0.0,1.0,0.0,frozen-v6-anchor,1.1378829925961942,1.3767731200435853,2.0400002480000126,3003095,cos(x3);x1*x2;x1^3,1.266 - 1.472·cos(x₃) + 0.8023·x₁³ + 1.249·x₁x₂,"RCSA spent-seed diagnostic; anchor=1,cos(x3),x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible=; anchor_role_ic=None; augmented_role_ic=None; outside_anchor_sse=None; outside_augmented_sse=None; accepted=0; final=1,cos(x3),x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,0.0,120,0,1,0,1;cos(x3);x1^3;x1*x2,G,balanced,250,250;250;250;250,750773.75,1;cos(x3);x1^3;x1*x2,1;cos(x3);x1^3;x1*x2,,0.0,0.0,0.0,,0,,,,,0.0
