benchmark,scenario,noise_ratio,samples_per_client,num_clients,seed,method,exact_recovery,term_precision,term_recall,test_nmse,train_mse,spurious_accepted,exception_recovered,runtime_seconds,communication_bytes,search_evaluations,discovered_terms,expression,stop_reason
base,complementary,0.03,300,4,9011,fedfalsify-v05,1.0,1.0,1.0,5.206347393030049e-07,0.00818922535816707,0.0,1.0,0.5045053560002088,238514,5,sin(x2);x1;x3^2,-0.002474 + 1.999·x₁ + 0.5005·x₃² + 1·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9011,centralized-tree-gp,0.0,0.25,0.3333333333333333,0.00013511385452181734,0.008951844357960814,0.0,1.0,1.3591012719998616,0,1564,"expr:add(sin(x2),x1);expr:cos(add(cos(x3),cos(x3)));expr:square(add(sin(x3),x3));x1",-0.3106 + 0.9999*(sin(x2)+x1) - 0.6894*cos((cos(x3)+cos(x3))) + 0.335*((sin(x3)+x3))^2 + 0.9994*x1,generation budget reached
base,complementary,0.03,300,4,9011,federated-tree-gp-style,0.0,0.25,0.3333333333333333,0.00013511385452181823,0.008951844357960814,0.0,1.0,3.3508011069998247,584128,1564,"expr:add(sin(x2),x1);expr:cos(add(cos(x3),cos(x3)));expr:square(add(sin(x3),x3));x1",-0.3106 + 0.9999*(sin(x2)+x1) - 0.6894*cos((cos(x3)+cos(x3))) + 0.335*((sin(x3)+x3))^2 + 0.9994*x1,generation budget reached
base,complementary,0.03,300,4,9011,centralized-residual-counterexample-gp,0.0,0.3333333333333333,0.3333333333333333,0.004029962289884723,0.03467088102023028,0.0,1.0,1.7500180010001714,0,1600,"expr:add(sin(x1),square(x3));expr:add(sin(x2),x1);x1",0.04475 + 0.4754*(sin(x1)+(x3)^2) + 1.017*(sin(x2)+x1) + 0.7527*x1,generation budget reached
base,complementary,0.03,300,4,9012,fedfalsify-v05,1.0,1.0,1.0,8.51670329245835e-07,0.007204379551704119,0.0,1.0,0.46660441399990304,238404,5,sin(x2);x1;x3^2,0.003187 + 1.999·x₁ + 0.4998·x₃² + 1.002·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9012,centralized-tree-gp,0.0,0.3333333333333333,0.3333333333333333,8.516703353865481e-07,0.007204379551704119,0.0,1.0,1.3956961899998532,0,1600,"expr:add(sin(x2),square(x3));expr:add(sin(x2),x1);x1",0.003187 + 0.4998*(sin(x2)+(x3)^2) + 0.5019*(sin(x2)+x1) + 1.497*x1,generation budget reached
base,complementary,0.03,300,4,9012,federated-tree-gp-style,0.0,0.3333333333333333,0.3333333333333333,8.516703353860034e-07,0.007204379551704118,0.0,1.0,1.4230371990001913,629696,1600,"expr:add(sin(x2),square(x3));expr:add(sin(x2),x1);x1",0.003187 + 0.4998*(sin(x2)+(x3)^2) + 0.5019*(sin(x2)+x1) + 1.497*x1,generation budget reached
base,complementary,0.03,300,4,9012,centralized-residual-counterexample-gp,0.0,0.3333333333333333,0.3333333333333333,8.516703353865481e-07,0.007204379551704119,0.0,1.0,1.1520334609999736,0,1610,"expr:add(sin(x2),square(x3));expr:add(sin(x2),x1);x1",0.003187 + 0.4998*(sin(x2)+(x3)^2) + 0.5019*(sin(x2)+x1) + 1.497*x1,generation budget reached
base,complementary,0.03,300,4,9013,fedfalsify-v05,1.0,1.0,1.0,5.349705218978376e-06,0.00761884823485221,0.0,1.0,0.45913735599970096,238267,5,sin(x2);x1;x3^2,-0.001234 + 2·x₁ + 0.4974·x₃² + 0.9961·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9013,centralized-tree-gp,0.0,0.3333333333333333,0.3333333333333333,5.3497052116398065e-06,0.0076188482348522124,0.0,1.0,0.8375007230001756,0,1491,"expr:add(sin(x2),x1);expr:add(square(x3),x1);x1",-0.001234 + 0.9961*(sin(x2)+x1) + 0.4974*((x3)^2+x1) + 0.5062*x1,generation budget reached
base,complementary,0.03,300,4,9013,federated-tree-gp-style,0.0,0.3333333333333333,0.3333333333333333,5.349705211640421e-06,0.0076188482348522124,0.0,1.0,0.9912020899996605,530048,1491,"expr:add(sin(x2),x1);expr:add(square(x3),x1);x1",-0.001234 + 0.9961*(sin(x2)+x1) + 0.4974*((x3)^2+x1) + 0.5062*x1,generation budget reached
base,complementary,0.03,300,4,9013,centralized-residual-counterexample-gp,0.0,0.3333333333333333,0.3333333333333333,5.3497052116398065e-06,0.0076188482348522124,0.0,1.0,0.7984571950000827,0,1488,"expr:add(sin(x2),x1);expr:add(square(x3),x1);x1",-0.001234 + 0.9961*(sin(x2)+x1) + 0.4974*((x3)^2+x1) + 0.5062*x1,generation budget reached
base,complementary,0.03,300,4,9014,fedfalsify-v05,1.0,1.0,1.0,1.4765709947028777e-06,0.0077697267051632995,0.0,1.0,0.3269455139998172,238311,5,sin(x2);x1;x3^2,0.000568 + 2.001·x₁ + 0.5005·x₃² + 0.9948·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9014,centralized-tree-gp,0.0,0.3333333333333333,0.3333333333333333,1.4765709812181407e-06,0.007769726705163301,0.0,1.0,0.9190763589999733,0,1624,"expr:add(sin(x2),square(x3));expr:add(sin(x2),x1);x1",0.000568 + 0.5005*(sin(x2)+(x3)^2) + 0.4943*(sin(x2)+x1) + 1.507*x1,generation budget reached
base,complementary,0.03,300,4,9014,federated-tree-gp-style,0.0,0.3333333333333333,0.3333333333333333,1.4765709812190826e-06,0.007769726705163301,0.0,1.0,1.248517878000257,674560,1624,"expr:add(sin(x2),square(x3));expr:add(sin(x2),x1);x1",0.000568 + 0.5005*(sin(x2)+(x3)^2) + 0.4943*(sin(x2)+x1) + 1.507*x1,generation budget reached
base,complementary,0.03,300,4,9014,centralized-residual-counterexample-gp,0.0,0.25,0.3333333333333333,0.0015181368279431429,0.02148293837828805,0.0,1.0,0.9495442600000388,0,1586,"cos(x3);expr:add(sin(x2),x1);expr:square(mul(square(x3),x2));x1",1.333 + 0.9959*(sin(x2)+x1) - 1.425*cos(x3) + 0.00159*(((x3)^2*x2))^2 + 1.003*x1,generation budget reached
base,complementary,0.03,300,4,9015,fedfalsify-v05,1.0,1.0,1.0,3.483717113997653e-06,0.008302977670154628,0.0,1.0,0.30454768700019486,238281,5,sin(x2);x1;x3^2,0.006049 + 1.997·x₁ + 0.4989·x₃² + 1.003·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
