benchmark,scenario,noise_ratio,samples_per_client,num_clients,seed,method,exact_recovery,term_precision,term_recall,test_nmse,train_mse,spurious_accepted,exception_recovered,runtime_seconds,communication_bytes,search_evaluations,discovered_terms,expression,stop_reason
interaction,exception,0.03,300,4,9014,fedfalsify-v05,1.0,1.0,1.0,1.1416839801845493e-06,0.006641814327885256,0.0,1.0,0.3523004190001302,247480,5,I(x3>1)*x3^2;x1*x2;x3^2,0.00134 + 0.999·x₁x₂ + 0.7502·𝟙[x₃>1]·x₃² + 0.5004·x₃²,target federated MSE reached; no replacement passed the federated certificate
interaction,exception,0.03,300,4,9014,centralized-tree-gp,0.0,0.25,0.3333333333333333,0.010782697343892101,0.11248823056099655,0.0,0.0,0.9058453969996663,0,1565,"expr:add(cos(x1),x3);expr:add(square(x3),x3);expr:sin(mul(cos(x1),sin(x3)));x1*x2",0.03582 - 0.1506*(cos(x1)+x3) + 0.8728*((x3)^2+x3) + 0.9802*(x1*x2) - 0.2301*sin((cos(x1)*sin(x3))),generation budget reached
interaction,exception,0.03,300,4,9014,federated-tree-gp-style,0.0,0.25,0.3333333333333333,0.010782697343892094,0.11248823056099655,0.0,0.0,1.143808689999787,618944,1565,"expr:add(cos(x1),x3);expr:add(square(x3),x3);expr:sin(mul(cos(x1),sin(x3)));x1*x2",0.03582 - 0.1506*(cos(x1)+x3) + 0.8728*((x3)^2+x3) + 0.9802*(x1*x2) - 0.2301*sin((cos(x1)*sin(x3))),generation budget reached
interaction,exception,0.03,300,4,9014,centralized-residual-counterexample-gp,0.0,0.25,0.3333333333333333,0.010782697343892101,0.11248823056099655,0.0,0.0,0.9065694359996996,0,1576,"expr:add(cos(x1),x3);expr:add(square(x3),x3);expr:sin(mul(cos(x1),sin(x3)));x1*x2",0.03582 - 0.1506*(cos(x1)+x3) + 0.8728*((x3)^2+x3) + 0.9802*(x1*x2) - 0.2301*sin((cos(x1)*sin(x3))),generation budget reached
interaction,exception,0.03,300,4,9015,fedfalsify-v05,1.0,1.0,1.0,2.8848705305042626e-06,0.007846641986906155,0.0,1.0,0.342565673000081,247656,5,I(x3>1)*x3^2;x1*x2;x3^2,0.004189 + 1.002·x₁x₂ + 0.7503·𝟙[x₃>1]·x₃² + 0.4993·x₃²,target federated MSE reached; no replacement passed the federated certificate
interaction,exception,0.03,300,4,9015,centralized-tree-gp,0.0,0.25,0.3333333333333333,0.013538797784269885,0.1128960810910913,0.0,0.0,0.9109366559996488,0,1602,"expr:add(x1,x3);expr:square(add(sin(x3),square(x3)));expr:square(mul(cos(x3),cos(x3)));x1*x2",0.7931 + 0.0927*(x1+x3) + 1.02*(x1*x2) + 0.1511*((sin(x3)+(x3)^2))^2 - 0.9817*((cos(x3)*cos(x3)))^2,generation budget reached
interaction,exception,0.03,300,4,9015,federated-tree-gp-style,0.0,0.25,0.3333333333333333,0.013538797784269871,0.1128960810910913,0.0,0.0,1.2084273240002403,639360,1602,"expr:add(x1,x3);expr:square(add(sin(x3),square(x3)));expr:square(mul(cos(x3),cos(x3)));x1*x2",0.7931 + 0.0927*(x1+x3) + 1.02*(x1*x2) + 0.1511*((sin(x3)+(x3)^2))^2 - 0.9817*((cos(x3)*cos(x3)))^2,generation budget reached
interaction,exception,0.03,300,4,9015,centralized-residual-counterexample-gp,0.0,0.25,0.3333333333333333,0.010631972018062178,0.11393288858879447,0.0,0.0,1.0189529299996138,0,1619,"expr:mul(sin(x3),x3);expr:square(add(sin(x1),square(x3)));expr:square(add(sin(x3),square(x3)));x1*x2",-0.03556 + 0.668*(sin(x3)*x3) + 1.014*(x1*x2) - 0.04846*((sin(x1)+(x3)^2))^2 + 0.1842*((sin(x3)+(x3)^2))^2,generation budget reached
interaction,exception,0.1,300,4,9011,fedfalsify-v05,1.0,1.0,1.0,1.3195888676877776e-05,0.07731613616581634,0.0,1.0,0.3425262290002138,247040,5,I(x3>1)*x3^2;x1*x2;x3^2,-0.004294 + 1.001·x₁x₂ + 0.7417·𝟙[x₃>1]·x₃² + 0.5028·x₃²,target federated MSE reached; no replacement passed the federated certificate
interaction,exception,0.1,300,4,9011,centralized-tree-gp,0.0,0.0,0.0,0.6130494435909982,0.8060242537953088,0.0,0.0,0.9023239379998813,0,1567,"expr:add(square(x3),x3);expr:sin(mul(sin(x1),x2));expr:square(mul(square(x1),square(x2)));expr:square(mul(x2,x3))",0.2113 + 0.749*((x3)^2+x3) + 2.262*sin((sin(x1)*x2)) + 0.001867*(((x1)^2*(x2)^2))^2 + 0.03168*((x2*x3))^2,generation budget reached
interaction,exception,0.1,300,4,9011,federated-tree-gp-style,0.0,0.0,0.0,0.6130494435909976,0.806024253795309,0.0,0.0,1.3168440019999252,616704,1567,"expr:add(square(x3),x3);expr:sin(mul(sin(x1),x2));expr:square(mul(square(x1),square(x2)));expr:square(mul(x2,x3))",0.2113 + 0.749*((x3)^2+x3) + 2.262*sin((sin(x1)*x2)) + 0.001867*(((x1)^2*(x2)^2))^2 + 0.03168*((x2*x3))^2,generation budget reached
interaction,exception,0.1,300,4,9011,centralized-residual-counterexample-gp,0.0,0.0,0.0,0.2728242530853871,0.8744279598587341,0.0,0.0,1.5006231319998733,0,1588,"expr:add(square(x3),x3);expr:cos(mul(cos(x1),x1));expr:sin(mul(sin(x1),x2));expr:sin(mul(x1,x2))",0.8718 + 0.806*((x3)^2+x3) - 0.7891*cos((cos(x1)*x1)) + 3.502*sin((sin(x1)*x2)) - 1.454*sin((x1*x2)),generation budget reached
interaction,exception,0.1,300,4,9012,fedfalsify-v05,1.0,1.0,1.0,2.6147218173024994e-05,0.06835834914131687,0.0,1.0,1.1933367809997435,836845,6,I(x3>1)*x3^2;x1*x2;x3^2,0.007308 + 0.995·x₁x₂ + 0.7502·𝟙[x₃>1]·x₃² + 0.5013·x₃²,target federated MSE reached; no replacement passed the federated certificate
interaction,exception,0.1,300,4,9012,centralized-tree-gp,0.0,0.25,0.3333333333333333,0.0068246216248652545,0.16162043821687913,0.0,0.0,1.4261174930002198,0,1569,"expr:add(square(x3),x3);expr:mul(square(x3),square(x3));expr:square(add(square(x3),x3));x1*x2",0.195 + 0.4926*((x3)^2+x3) + 0.03629*((x3)^2*(x3)^2) + 0.993*(x1*x2) + 0.03007*(((x3)^2+x3))^2,generation budget reached
